Agency,Platform,Status,Message,Url
Agence Wellington,WHISE,Ignored,Prix 350000 superieur au plafond,https://www.agencewellington.be/fr/bien/a-vendre/maison/1440-braine-le-chateau/7680034
Agence Wellington,WHISE,Ignored,Prix 640000 superieur au plafond,https://www.agencewellington.be/fr/bien/a-vendre/maison/1440-braine-le-chateau-wauthier-braine/7676688
Agence Wellington,WHISE,Ignored,Prix absent,https://www.agencewellington.be/fr/bien/a-vendre/maison/1490-court-saint-etienne/4858257
Agence Wellington,WHISE,Ignored,Prix absent,https://www.agencewellington.be/fr/bien/a-vendre/maison/1340-ottignies/4858273
Agence Wellington,WHISE,Ignored,Prix absent,https://www.agencewellington.be/fr/bien/a-vendre/maison/1340-ottignies/4858276
Agence Wellington,WHISE,Ignored,Prix absent,https://www.agencewellington.be/fr/bien/a-vendre/maison/1330-rixensart/4858277
Agence Wellington,WHISE,Ignored,Prix 865000 superieur au plafond,https://www.agencewellington.be/fr/bien/a-vendre/maison/1830-machelen/5324206
Agence Wellington,WHISE,Ignored,Prix 650000 superieur au plafond,https://www.agencewellington.be/fr/bien/a-vendre/maison/1070-anderlecht/5564414
Agence Wellington,WHISE,Ignored,Prix absent,https://www.agencewellington.be/fr/bien/a-vendre/maison/1190-forest/5570434
Agence Wellington,WHISE,Ignored,Prix 350000 superieur au plafond,https://www.agencewellington.be/fr/bien/a-vendre/maison/1410-waterloo/5918081
Arcadia,WordPress,Ignored,Prix 487000 superieur au plafond,https://www.arcadiabelgium.be/properties/agreable-et-spacieuse-maison-neuve-4chs-grand-jardin-et-2-terrasses/
Arcadia,WordPress,Ignored,Prix 535000 superieur au plafond,https://www.arcadiabelgium.be/properties/maison-de-rapport-3-lots-a-vendre-petite-copropriete-de-4-biens-dont-une-profession-liberale/
Arcadia,WordPress,Ignored,Prix 360000 superieur au plafond,https://www.arcadiabelgium.be/properties/maison-neuve-2-facade-3-4-chs-avec-grand-jardin/
Berth Immobiliën,Unknown,Ignored,Prix absent,https://www.berth.be/fr/l/a-vendre/maison/1630-linkebeek/lis_jvpyw796lvw0o4p99g2rvwar/
Berth Immobiliën,Unknown,Ignored,Prix absent,https://www.berth.be/fr/l/a-vendre/immeuble-de-rapport/1070-anderlecht/lis_qb84aahlv8dd8inrl4j6ibe7/
Berth Immobiliën,Unknown,Ignored,Prix absent,https://www.berth.be/fr/l/a-vendre/maison/1600-sint-pieters-leeuw/lis_c4p7cnlguafjvzv2z3dx6ooh/
Berth Immobiliën,Unknown,Listing,200000 EUR,https://www.berth.be/fr/l/a-vendre/maison/1060-sint-gillis/lis_ozzinurgkwsjsw2e5nhi70uq/
De Immobiliers,Skarabee,Ignored,Prix absent,https://www.deimmobiliers.be/detail/vente-villa-maison-pajottegem/7582731
Destryker,Skarabee,Ignored,Prix absent,https://destryker.be/nl/aanbod/4087451/huis-optie-koop-in-1502-lembeek
Destryker,Skarabee,Ignored,Prix 580000 superieur au plafond,https://destryker.be/nl/aanbod/4240543/handelspand-met-woonst-te-koop-in-1502-lembeek
Destryker,Skarabee,Ignored,Prix 580000 superieur au plafond,https://destryker.be/nl/aanbod/4259118/handelspand-met-woonst-te-koop-in-1500-halle
